French,English
je,I
de,of
est,East
pas,not
le,THE
vous,YOU
la,there
tu,you
il,he
et,And
à,has
a,has
ne,born
les,THE
ce,This
en,in
on,we
ça,That
une,a
ai,have
pour,For
des,of the
moi,Me
qui,Who
nous,We
mais,but
me,me
du,of
bien,GOOD
elle,She
si,if
tout,All
plus,more
non,No
mon,My
suis,am
te,you
au,At
avec,with
va,go
oui,Yes
toi,You
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
sur,on
quoi,What
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,Nothing
dit,said
es,es
où,Or
votre,your
pourquoi,Why
sont,are
cette,this
quand,When
par,by
son,her
dire,say
comment,how
avez,have
bon,Good
ou,Or
très,very
merci,THANKS
ont,have
même,even
jamais,Never
aussi,Also
voir,see
chose,thing
allez,Go on
tous,all
deux,two
ces,these
faut,must
sa,her
êtes,are
été,summer
ta,your
fais,do 
